Country_Name,Country_Code,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015
Afghanistan,AFG,698407670.9,896809113.1,1184209307,1478802591,1509097610,1729149590,1637401469,1789311203,0
Albania,ALB,653182859.5,756060207,697520829.7,636307079.4,736670213.9,689956814.6,730455874.1,786582208.3,0
Algeria,DZA,5158038292,7185295109,7353702594,8249251645,10536673035,12552282664,13199179008,14083684490,0
Andorra,ADO,254427979.6,263857400.7,247697843.3,267945204.5,230060238.6,237450697.1,373012119.2,272680677.9,0
Angola,AGO,2045052811,3236589617,3300360573,2796709532,3518682444,3811803620,5293117219,4345396705,0
Antigua And Barbuda,ATG,55047801.26,63217767.04,58656419.31,63913977,63823767.63,64885103.06,64018060.57,70330443.2,0
Argentina,ARG,21553281472,27210997532,29046763632,30442302658,33147468641,30594570884,31114697267,26010989305,0
Armenia,ARM,400588279.1,444418859.5,393060338.8,423970846.9,376951573,446536591.9,475699273,485651350.2,0
Australia,AUS,84117937842,92689758755,91415618779,1.16E+11,1.41E+11,1.47E+11,1.43E+11,1.40E+11,0
Austria,AUT,39009135892,43918404805,42956827515,42168895099,45490269832,44053863808,46296648069,47467681482,0
Azerbaijan,AZE,1685933649,2142305136,2591195094,2822321846,3305824458,3739885992,4106893060,4539616447,0
Bahamas,BHS,588618272.1,602250730.1,581207366.3,588202579.2,602281217.2,611829685.8,594063038.4,658913964.4,0
Bahrain,BHR,668779130.9,814645609,868556654,935358817.3,988066268.8,1342794343,1541713943,1692666770,0
Bangladesh,BGD,2234291002,2608761255,2971455722,3508014985,3897703123,3971656153,4425328145,4904911710,0
Barbados,BRB,256352359.3,276387552.2,285966814,274242511.5,290667869.6,320423639.9,324017361.4,324765294.3,0
Belarus,BLR,2914495340,3611552675,2977893270,3061612390,2780992686,3188642055,4417832055,4277222570,0
Belgium,BEL,42524276624,48700405903,49191693294,47902356283,53505698904,50898323350,53722593154,54716194326,0
Belize,BLZ,61437356.57,69701593.35,77645727.98,81673129.5,83349944.5,85823934,94056701.97,97977979.39,0
Benin,BEN,250561275.4,278316260.7,293951483.7,324692771.4,391370227.1,366362332.8,381472074.8,401570633.3,0
Bhutan,BTN,70314121.04,82796087.54,76237681.96,81996839.82,86122414.22,67546700.58,68147358.22,67927047.22,0
Bolivia,BOL,651235488.2,834083696.3,999084619.1,1069537201,1315204277,1502338695,1825354998,2164979987,0
Bosnia,BIH,1320524847,1639256838,1696807169,1643973057,1809264274,1710355339,1718229933,1769970461,0
Botswana,BWA,515565714.1,616813892.6,645643709.5,775679540.3,802723419.2,911817185.1,863207933.5,855373020.6,0
Brazil,BRA,1.16E+11,1.40E+11,1.44E+11,1.83E+11,2.12E+11,1.99E+11,2.03E+11,1.95E+11,0
Brunei,BRN,283876053.9,320895432.9,305735327.5,338106679.9,374871152.4,390059462.7,420909655.2,399698997.9,0
Bulgaria,BGR,2873456660,3634161528,3521248039,3623021758,3924027023,3806246391,4414287654,4795078090,0
Burkina Faso,BFA,448894033.3,566504120.7,619773539.2,643867966.4,554375795.8,594803362.3,721183035.8,619069389.2,0
Burundi,BDI,135982965.2,126681655.9,123648795.8,179247917.7,203380719.4,206004814.2,218307430.5,233138530.6,0
Cape Verde,CPV,65126807.74,70904092.01,72624164.25,80411375.77,85748257.12,80721386.38,78908915.04,89062824.66,0
Cambodia,KHM,323611233.7,574981473,661055230.5,669230723.6,723769355.1,876885990,911391793.5,939381002.4,0
Cameroon,CMR,971879246.6,1207203469,1185421289,1248409834,1053302875,1148652774,1269361647,1335687433,0
Canada,CAN,1.43E+11,1.55E+11,1.53E+11,1.81E+11,1.94E+11,1.98E+11,1.96E+11,1.87E+11,0
Central African Republic,CAF,68675695.72,85468462.72,70883218.84,77403621.49,81955766.73,78605138.42,59036990.75,74886940.33,0
Chad,TCD,289065548.6,301910947.7,305992147.7,314271578.1,385203154.7,371082899.2,442555267.6,504146644.5,0
Chile,CHL,10982435705,12337395735,12711964587,15159390919,17569733539,19197331242,20837105571,20092303067,0
