Country,no_of_holidays,avg_gdp,Population,"Health expenditure, private (% of GDP)","Labor force, total",Unemployment_Rate,Average Democratic Index,avg_life_expectancy
Canada,6,1.64E+12,34379192.56,3.110598797,19015382.88,7.162500083,9.085555556,81.46567988
Costa Rica,9,39808325715,4595447.667,2.618982037,2172241.375,7.275000095,8.024444444,78.99708537
Cuba,10,51677276667,11330804,0.507233823,5245567,2.514285718,3.513333333,79.09651525
El Salvador,14,22869233333,6055740.111,2.498534939,2607466.375,6.442857197,6.485555556,72.07153659
Guatemala,11,47414691444,15057981.44,4.200594349,6145849,3.24000001,5.934444444,71.89827744
Honduras,11,16751157228,7613724.889,4.553473458,3040557.75,3.733333389,5.923333333,72.67192073
Jamaica,11,13674326542,2697270.222,2.412125041,1269043.125,12.21428558,7.315555556,75.13375305
Mexico,12,1.13E+12,120236083.2,3.183559477,51245483.88,4.649999976,6.757777778,76.28777744
Nicaragua,9,9847057560,5805263.556,3.142806863,2447517,6.125,5.494444444,74.02586585
Panama,19,35719303778,3682787,2.222579514,1708547.875,5.3125,7.165555556,77.14645122
Trinidad,18,24739258057,1334836.778,2.624930976,674688.75,4.942857129,7.097777778,70.0395122
Us,12,1.58E+13,311557629,8.849867176,158433454.9,7.500000119,8.121111111,78.57225609
Argentina,17,4.62E+11,41673244.89,2.353414631,18750465.25,7.612500012,6.826666667,75.73303964
Bolivia,12,23853778749,10080218.33,1.720506521,4734373.875,3.550000012,5.854444444,67.11640549
Brazil,16,2.08E+12,200441521.6,4.615428453,104304035.9,6.800000055,7.164444444,74.20324695
Chile,16,2.26E+11,17203334.33,3.81002544,8032773.75,7.442857197,7.75,78.56289939
Colombia,18,3.03E+11,46362289.78,1.746624108,22624338.5,10.72500014,6.571111111,73.54032317
Ecuador,12,78758093667,15176049.44,3.776635732,7141461.5,5.342857088,5.774444444,75.34994512
Paraguay,14,22823506547,6297916.667,5.233796948,2982784.5,5.449999988,6.304444444,72.52670122
Peru,13,1.62E+11,29793773.44,2.256438278,15863699.88,4.362500012,6.465555556,73.96342683
Suriname,15,4370529588,522768.8889,2.920305075,202382.125,7.133333365,6.681111111,70.63544817
Uruguay,10,43684435145,3385462.222,3.012205609,1714731.25,7.128571374,8.128888889,76.61584451
Venezuela,23,2.6E+11,29411283.44,3.118429833,13387933.5,7.750000179,5.11,73.89167988
Australia,7,1.25E+12,22359015.11,2.939788228,11754823.38,5.187499881,9.111111111,81.93445122
Fiji,10,3756189212,865589.7778,1.261043303,335879.25,8.866666635,4.697777778,69.64335061
New Zealand,11,1.61E+11,4386277.778,1.851584096,2349788.5,5.737500012,9.224444444,81.01076219
Afghanistan,9,16246762310,28994257.89,6.056004666,7280460.5,8.199999809,2.676666667,61.84081403
Armenia,17,10318366762,2983903.444,2.369761146,1464818.25,19.19999995,4.06,73.46298171
Azerbaijan,24,57287243306,9157596.667,4.202392603,4577279.25,5.5,3.022222222,71.17684756
Bahrain,16,28318117612,1258735.889,1.244152114,688549.625,1.166666707,3.018888889,76.36838415
Bangladesh,21,1.3E+11,153584591.2,1.994054049,73708559.63,4.75,5.813333333,70.84242378
Bhutan,23,1629769994,730552.1111,0.88889879,365776.5,3.099999973,4.485555556,68.36718293
Cambodia,26,13086734069,14620026.22,4.302384956,7971840.25,0.483333346,4.695555556,67.01065549
China,27,7.32E+12,1344355556,2.325266357,787935234.5,3.974999964,3.063333333,75.51510061
Cyprus,15,24520261417,1115642,3.91863025,582739.125,8.875000089,7.448888889,79.66358537
Timor Leste,14,1060061195,1118349,0.123244457,252533.125,5.299999952,7.132222222,67.62229268
Georgia,17,13585454825,3877555.556,7.061721259,2076977.125,15.01249993,5.328888889,72.63949085
India,18,1.68E+12,1246533224,3.182267226,477537079,4.125,7.637777778,67.15430793
Indonesia,16,7.46E+11,244874318,1.782967619,117619239.4,7.162499964,6.704444444,68.41767683
Iran,26,4.13E+11,75291396.11,4.263363832,25452889,11.25,2.235555556,74.51527134
Iraq,17,1.67E+11,32117232.11,1.440186011,7747743.125,11.6500001,4.07,68.86501524
Israel,13,2.51E+11,7770000,2.841679904,3316530.75,6.125,7.564444444,81.69756098
Japan,20,5.03E+12,127665406.6,1.690724302,66085901.5,4.175000042,8.083333333,83.10155488
Jordan,16,28449096459,6726057.778,2.70438169,1761414.625,12.69999995,3.842222222,73.66440549
Kazakhstan,21,1.75E+11,16532124.89,1.74412566,8849266.375,5.912500024,3.212222222,69.55082317
Kuwait,13,1.4E+11,3231364.889,0.420802215,1634298.125,2.059999967,3.682222222,74.32103049
Kyrgyzstan,15,5844980896,5561355.556,2.892607434,2561817.25,8.37142849,4.628888889,69.71432927
Lebanon,16,38558535789,4775499.667,4.245273945,1651728,9,5.28,78.81213719
Malaysia,20,2.72E+11,28555758.78,1.719024017,12264461.88,3.212500006,6.342222222,74.57885671
Mongolia,8,8988966101,2766695.889,2.151537344,1227717.875,6.585714272,6.501111111,67.96256708
Nepal,28,16601682537,27228948.33,3.531783813,14371990,3,4.364444444,68.4942439
Pakistan,20,2.06E+11,173961473.8,2.050652881,59283934.88,5.41428566,4.451111111,65.51868598
Philippines,23,2.24E+11,94652413.56,2.901077201,40227358.13,7.175000072,6.455555556,68.5538811
Qatar,10,1.51E+11,1817150,0.382274998,1297424,0.416666677,3.096666667,77.89503659
Russia,18,1.72E+12,143196451.7,2.990853843,76849192.13,6.3125,3.883333333,69.68277439
Saudi Arabia,9,6.04E+11,28804328.33,1.125755256,10428398.75,5.585714272,1.848888889,73.97397256
Singapore,14,2.51E+11,5154701.444,2.689027985,2846844.25,2.975000024,5.99,81.83109756
South Korea,18,1.18E+12,49687033.78,3.02340891,25284750.63,3.362500012,8.022222222,81.10981707
Sri Lanka,32,60246858796,20286666.67,1.814129181,8364970.375,4.862500012,6.271111111,74.51953963
Syria,12,4489445112,19765281.89,1.798219117,5558989,10.13999977,1.881111111,71.55625305
Tajikistan,13,6583859319,7769354.667,4.455065673,3332027.375,11.5,2.35,70.15787195
Thailand,25,3.52E+11,67027877.33,0.935233632,39283619.25,0.987500012,5.975555556,74.23697256
Turkey,14,7.36E+11,73801224.22,1.31089592,25891918.13,9.674999952,5.502222222,74.48302439
United Arab Emirates,14,3.32E+11,8212829.111,0.991468175,5479627.5,4.099999905,2.595555556,76.92815854
Vietnam,15,1.38E+11,87906266.67,3.381210762,51251441.25,2,3.075555556,75.24603963
Yemen,14,23833917860,24248538,3.930350909,6666554,15.67499995,2.683333333,63.86235366
Albania,14,12253196915,2915819,2.993920388,1273750.25,14.375,5.813333333,77.21510061
Austria,14,4.09E+11,8419709.111,2.680956052,4348181.875,4.93750006,8.527777778,80.96676829
Belarus,9,59735344204,9498222.222,1.760277665,4470914,1.599999994,3.345555556,71.60670732
Belgium,12,4.99E+11,10989277,2.3226775,4860709,7.774999976,8.015555556,80.49756098
Bosnia,21,17572019359,3829487.667,2.834161202,1474000,26.8714289,5.183333333,76.0501189
Bulgaria,14,52553097480,7355466.778,3.191260314,3416118.75,9.674999953,6.907777778,74.01981707
Croatia,14,59481369457,4331558.778,1.287807801,1914007.75,12.92499971,6.898888889,76.76707317
Cyprus,15,24520261417,1115642,3.91863025,582739.125,8.875000089,7.448888889,79.66358537
Czech,14,2.07E+11,10466609.78,1.16879679,5258905,6.3125,8.076666667,77.9875
Denmark,11,3.29E+11,5569154.444,1.618132783,2930999.625,6.174999982,9.377777778,79.76189024
Estonia,12,22922860506,1326492.778,1.278377294,694879.375,9.825000166,7.707777778,75.98597561
Finland,17,2.6E+11,5387675.778,2.252931138,2715538,7.787499905,9.103333333,80.47469512
France,13,2.72E+12,65378307,2.467949986,29766907.75,9.074999988,7.928888889,81.99207317
Georgia,17,13585454825,3877555.556,7.061721259,2076977.125,15.01249993,5.328888889,72.63949085
Germany,10,3.59E+12,81645288.89,2.594858056,42098054.63,6.549999952,8.546666667,80.40091464
Greece,14,2.78E+11,11020659.78,3.229065788,5040330.625,16.78749985,7.695555556,80.77378049
Hungary,13,1.35E+11,9956996.222,2.622024494,4330516.375,9.537499964,7.066666667,74.87835366
Iceland,16,15865302773,320802.5556,1.646732143,188383.5,5.412499994,9.624444444,82.28963415
Ireland,10,2.44E+11,4555992.111,2.484429354,2205865.625,11.32499999,8.814444444,80.80914634
Italy,17,2.15E+12,59598018,2.18405077,24929547.75,9.099999845,7.853333333,82.3570122
Latvia,13,29025490145,2077307.556,2.346315562,1080809.25,13.08750004,7.217777778,73.57103659
Lithuania,13,42726212455,3056207.333,1.95819514,1547761.875,11.61249983,7.4,73.62164634
Luxembourg,12,56372484189,521336.3333,1.067407408,241688.75,5.050000012,8.921111111,81.30579268
Macedonia,26,9946390103,2065537.222,2.287170912,933238.25,31.53750014,6.075555556,74.89546037
Malta,16,6679029214,417875.7778,3.10501406,178422.375,6.400000095,8.341111111,81.05091463
Moldova,17,6502962404,3562587.222,5.822165238,1246062.25,5.524999976,6.33,70.12139025
Montenegro,13,4237774305,619627.8889,2.561798551,252626.25,18.97500014,6.12,75.73339025
Netherlands,9,8.54E+11,16669674.11,1.411314226,8948210.625,4.637500048,9.071111111,81.06646341
Norway,12,4.55E+11,4953308.889,1.392589776,2630838.125,3.099999994,9.831111111,81.38536585
Poland,13,4.94E+11,38068728.89,1.927989833,17991665.38,9.187500178,7.155555556,76.71676829
Portugal,14,2.33E+11,10502433,3.299674141,5508617.5,11.76249999,7.894444444,80.06097561
Romania,15,1.82E+11,20218426.56,1.073032183,9583156.75,6.75000006,6.702222222,74.14268293
Russia,18,1.72E+12,143196451.7,2.990853843,76849192.13,6.3125,3.883333333,69.68277439
Serbia,12,42786513408,7241130.556,3.837026611,3184631.875,19.50000027,6.528888889,74.69878049
Slovakia,15,93285348022,5399304.889,2.527214732,2703393,12.75,7.34,75.90396342
Slovenia,15,48823061571,2047043.667,2.422417506,1030253,7.387500047,7.753333333,79.96646342
Spain,8,1.42E+12,46350633.33,2.449952424,23327200.5,19.24999976,8.184444444,82.35853659
Sweden,23,5.19E+11,9456479.667,1.801551041,5006364.625,7.662500024,9.643333333,81.77134146
Switzerland,1,6.18E+11,7915751.333,3.890341182,4547897.875,4.087499976,9.088888889,82.60853659
Turkey,14,7.36E+11,73801224.22,1.31089592,25891918.13,9.674999952,5.502222222,74.48302439
Ukraine,16,1.47E+11,45782405.56,3.216639276,23144730.63,7.700000107,6.076666667,70.37448171
Uk,8,2.69E+12,63223436.56,1.592691119,32166629.25,6.962500036,8.227777778,80.72804878
Algeria,12,1.78E+11,36828280.67,1.542433853,11441415.88,10.8375001,3.596666667,75.01052439
Benin,12,7807025210,9784629.778,2.319283224,3979497.875,1,5.928888889,59.63632012
Botswana,9,13376995142,2092755.556,1.986303018,1060989.125,17.89999962,7.752222222,61.54956707
Burkina Faso,10,10015882823,16138657.89,2.712662218,7134476.625,3.299999952,3.962222222,57.86281707
Burundi,12,2272859256,9812415.444,3.949033309,4421952.125,1.600000024,3.585555556,55.52067073
Cape Verde,10,1737218215,497761,1.143825598,224095.75,10.69999981,7.833333333,71.97657927
Cameroon,11,26070413699,21157846.44,3.466272291,8273403.125,3.5,3.436666667,56.02478964
Ivory Coast,14,27050158776,20680933.44,4.50657872,7775881.125,9.399999619,3.322222222,51.22717683
Egypt,20,2.37E+11,84135009.44,3.111790936,27411454.25,10.55714267,3.587777778,70.63048171
Ethiopia,13,38800752869,89977028,2.354659776,41750443.5,15.87999992,3.934444444,62.61871951
Gabon,13,15537704176,1579790,1.242442264,584704.5,20.39999962,3.452222222,63.71958842
Gambia,13,798801996.4,1755253.778,2.377917459,716848.375,29.79999924,3.432222222,60.03470122
Ghana,15,35247814084,24945427.67,1.486892428,10340226.38,4.699999809,6.114444444,61.32622866
Guinea,10,5365051665,11342890.44,2.773676072,4551841.125,1.650000036,2.734444444,57.49170427
Lesotho,11,1825977859,2038490,2.730598706,833964.875,24.84999943,6.475555556,51.50607012
Liberia,12,1481145800,4048668.889,7.871928388,1389768.75,4.649999977,5.08,60.24247866
Libya,14,60540337915,6221184.111,1.13695693,2341722.875,19,3.066666667,71.73084146
Madagascar,11,9494863075,21730812.67,1.933241916,10773915.75,2.549999952,4.65,64.01235671
Malawi,11,6118810845,15281087.56,4.721416874,6743585.125,6.400000095,5.624444444,58.81469817
Mali,10,11656841033,15652637.89,4.122269944,5224843.875,8.280000019,5.826666667,55.86224695
Mauritania,8,4097056788,3689591.667,1.805665915,1151739.125,31.20000076,3.943333333,62.28658537
Mauritius,21,10526650997,1252450.889,2.577251909,572078.75,7.824999928,8.136666667,73.51442073
Morocco,15,97103241160,32605790.78,3.782605544,11778159.63,9.325000048,4.107777778,74.402375
Mozambique,10,13027367435,25081660.44,2.741526921,11333221,22.60000038,4.833333333,55.48954878
Namibia,12,11101845724,2253884.778,3.411888199,840977.625,26.57999992,6.314444444,59.85789024
Niger,12,6357559324,17058991.44,3.776388561,5396264.5,2.400000095,3.84,57.70953963
Nigeria,15,3.72E+11,164156178.8,2.671220802,50556992.88,14.01249993,3.863333333,51.46033842
Rwanda,11,6304010324,10550304.89,4.81114549,5177867,3.400000095,3.351111111,64.07146037
Senegal,13,13699057635,13425036.67,2.269847647,5674374.25,10.39999962,5.8,64.85952439
South Africa,21,3.44E+11,51644430,4.420157933,18645171.88,23.9625001,7.764444444,57.83094817
Sudan,8,63731987301,36916793.89,5.585687163,11328062,13.9000001,2.523333333,63.09471646
Swaziland,13,3961922844,1211795,2.445299892,418491.125,28.20000076,3.082222222,53.15989939
Tanzania,16,35453049217,47279176.78,2.58788758,22771313.75,2.725000024,5.611111111,62.05917378
Tunisia,11,44333244076,10664766.67,2.843206946,3828360.25,14.69999981,5.022222222,75.00810061
Uganda,18,20680253550,34363625.56,6.414532866,13432316,3.049999893,5.158888889,57.78946951
Zambia,14,21434000755,14398649.56,2.337621572,6029643.25,7.900000095,5.95,58.00946951
Zimbabwe,12,10246212645,14339547.33,4.131436258,7161105.875,9.266666888,2.743333333,55.21565244
