"Country","no_of_holidays"
"Anguilla","12"
"Antigua And Barbuda","12"
"Aruba","10"
"Barbados","13"
"Belize","14"
"British Virgin Islands","14"
"Canada","55"
"Cayman Islands","13"
"Costa Rica","9"
"Cuba","10"
"Curacao","11"
"Dominica","13"
"Dominican Republic","12"
"El Salvador","14"
"Grenada","15"
"Guatemala","11"
"Haiti","15"
"Honduras","11"
"Jamaica","11"
"Martinique","11"
"Mexico","12"
"Montserrat","12"
"Nicaragua","9"
"Panama","19"
"Puerto Rico","20"
"Saint Kitts And Nevis","13"
"Saint Lucia","13"
"Saint Martin","14"
"Saint Pierre And Miquelon","9"
"Saint Vincent And The Grenadines","14"
"Sint Maarten","14"
"Saint Barthelemy","14"
"Bahamas","12"
"Trinidad","18"
"Turks And Caicos Islands","13"
"Us","95"
"United States Virgin Islands","15"
"Bermuda","12"
"British Virgin Islands","14"
"Falkland Islands","8"
"Greenland","11"
"Saint Helena","11"
"Argentina","17"
"Bolivia","12"
"Brazil","16"
"Chile","16"
"Colombia","18"
"Ecuador","12"
"Guyana","17"
"Paraguay","14"
"Peru","13"
"Suriname","15"
"Uruguay","10"
"Venezuela","23"
"Australia","48"
"Cook Islands","9"
"Fiji","10"
"Kiribati","11"
"Micronesia","16"
"Nauru","8"
"New Zealand","11"
"Palau","9"
"Papua New Guinea","11"
"Samoa","10"
"Solomon Islands","17"
"Tonga","11"
"Tuvalu","11"
"Vanuatu","16"
"Un","0"
"World","0"
"Afghanistan","9"
"Armenia","17"
"Azerbaijan","24"
"Bahrain","16"
"Bangladesh","50"
"Bhutan","23"
"Brunei","13"
"Cambodia","25"
"China","27"
"Cyprus","15"
"Timor Leste","14"
"Georgia","17"
"Hong Kong","20"
"India","50"
"Indonesia","23"
"Iran","26"
"Iraq","17"
"Israel","13"
"Japan","20"
"Jordan","16"
"Kazakhstan","21"
"Kuwait","13"
"Kyrgyzstan","15"
"Laos","13"
"Lebanon","16"
"Macau","10"
"Malaysia","34"
"Mongolia","8"
"Myanmar","22"
"Nepal","28"
"North Korea","15"
"Oman","13"
"Pakistan","41"
"Philippines","23"
"Qatar","10"
"Russia","18"
"Saudi Arabia","9"
"Singapore","14"
"South Korea","18"
"Sri Lanka","32"
"Syria","12"
"Taiwan","17"
"Tajikistan","13"
"Thailand","25"
"Turkey","14"
"Turkmenistan","14"
"United Arab Emirates","14"
"Uzbekistan","11"
"Vietnam","15"
"Yemen","14"
"Maldives","13"
"Mayotte","15"
"Albania","14"
"Andorra","22"
"Austria","14"
"Belarus","9"
"Belgium","12"
"Bosnia","21"
"Bulgaria","14"
"Croatia","14"
"Cyprus","15"
"Czech","14"
"Denmark","11"
"Estonia","12"
"Faroe Islands","15"
"Finland","17"
"France","13"
"Georgia","17"
"Germany","16"
"Gibraltar","13"
"Greece","14"
"Guernsey","9"
"Vatican City State","16"
"Hungary","13"
"Iceland","16"
"Ireland","10"
"Isle Of Man","10"
"Italy","17"
"Jersey","9"
"Kosovo","15"
"Latvia","13"
"Liechtenstein","20"
"Lithuania","13"
"Luxembourg","12"
"Macedonia","26"
"Malta","16"
"Moldova","17"
"Monaco","14"
"Montenegro","13"
"Netherlands","9"
"Norway","12"
"Poland","13"
"Portugal","14"
"Romania","15"
"Russia","18"
"San Marino","19"
"Serbia","12"
"Slovakia","15"
"Slovenia","15"
"Spain","50"
"Sweden","23"
"Switzerland","18"
"Turkey","14"
"Ukraine","16"
"Uk","41"
"Algeria","12"
"Angola","12"
"Benin","12"
"Botswana","9"
"Burkina Faso","10"
"Burundi","12"
"Cape Verde","10"
"Cameroon","11"
"Central African Republic","13"
"Chad","10"
"Comores","9"
"Republic Of The Congo","10"
"Dr Congo","11"
"Ivory Coast","14"
"Djibouti","7"
"Egypt","20"
"Guineaecuatorial","11"
"Eritrea","16"
"Ethiopia","13"
"Gabon","13"
"Gambia","13"
"Ghana","15"
"Guinea","10"
"Guinea Bissau","9"
"Kenya","12"
"Lesotho","11"
"Liberia","12"
"Libya","14"
"Madagascar","11"
"Malawi","11"
"Mali","10"
"Mauritania","8"
"Mauritius","21"
"Morocco","15"
"Mozambique","10"
"Namibia","12"
"Niger","12"
"Nigeria","15"
"Reunion","12"
"Rwanda","11"
"Sao Tome And Principe","8"
"Senegal","13"
"Seychelles","11"
"Sierra Leone","9"
"Somalia","9"
"South Africa","21"
"South Sudan","12"
"Sudan","8"
"Swaziland","13"
"Tanzania","16"
"Togo","14"
"Tunisia","11"
"Uganda","15"
"Zambia","13"
"Zimbabwe","12"
