"Country","avg_life_expectancy"
"Afghanistan",61.840814025
"Albania",77.21510060875
"Algeria",75.01052439
"Angola",59.0611158525
"Antigua And Barbuda",75.53896951375
"Arab World",70.35075918
"Argentina",75.733039635
"Armenia",73.4629817075
"Aruba",75.1138963425
"Australia",81.93445121875
"Austria",80.96676829375
"Azerbaijan",71.17684756125
"Bahamas",74.825140245
"Bahrain",76.368384145
"Bangladesh",70.8424237825
"Barbados",75.08574085375
"Belarus",71.6067073175
"Belgium",80.497560975
"Belize",69.9044603675
"Benin",59.63632012375
"Bermuda",80.39075
"Bhutan",68.36718292625
"Bolivia",67.11640548875
"Bosnia",76.05011890125
"Botswana",61.5495670725
"Brazil",74.20324695125
"Brunei",76.8260945125
"Bulgaria",74.0198170725
"Burkina Faso",57.86281707375
"Burundi",55.52067073125
"Cambodia",67.01065548625
"Cameroon",56.02478963625
"Canada",81.46567987875
"Cape Verde",71.97657926875
"Central African Republic",48.69556097625
"Chad",50.94249085375
"Channel Islands",80.3089390225
"Chile",78.56289939125
"China",75.51510060875
"Colombia",73.54032317125
"Comores",62.3456036575
"Costa Rica",78.9970853675
"Croatia",76.76707317125
"Cuba",79.09651524625
"Curacao",76.6908536575
"Cyprus",79.66358536625
"Czech",77.9875
"Denmark",79.76189024375
"Djibouti",60.95194512125
"Dominican Republic",73.03142377875
"Dr Congo",57.54528353625
"Ecuador",75.34994512125
"Egypt",70.6304817075
"El Salvador",72.071536585
"Eritrea",62.88852743875
"Estonia",75.98597560875
"Ethiopia",62.6187195125
"Faroe Islands",80.98170731625
"Fiji",69.64335061
"Finland",80.4746951225
"France",81.9920731725
"French Polynesia",75.99221951375
"Gabon",63.719588415
"Gambia",60.03470122
"Georgia",72.63949085375
"Germany",80.400914635
"Ghana",61.32622865875
"Greece",80.77378048875
"Greenland",70.9550406483333
"Grenada",72.85473780375
"Guam",78.5460091475
"Guatemala",71.89827743875
"Guinea",57.49170427
"Guinea Bissau",55.588140245
"Guineaecuatorial",56.437762195
"Guyana",66.17846036625
"Haiti",61.7868810975
"Honduras",72.6719207325
"Hong Kong",83.3902439025
"Hungary",74.8783536575
"Iceland",82.2896341475
"India",67.1543079275
"Indonesia",68.41767682875
"Iran",74.51527134125
"Iraq",68.86501524375
"Ireland",80.80914634
"Israel",81.697560975
"Italy",82.357012195
"Ivory Coast",51.2271768275
"Jamaica",75.13375304875
"Japan",83.10155487875
"Jordan",73.6644054875
"Kazakhstan",69.55082317
"Kenya",64.001466465
"Kiribati",65.51105487875
"Kosovo",70.354268295
"Kuwait",74.3210304875
"Kyrgyzstan",69.714329265
"Laos",64.8923048775
"Latvia",73.571036585
"Lebanon",78.81213719375
"Lesotho",51.50607012125
"Liberia",60.24247866
"Libya",71.7308414625
"Liechtenstein",82.07591463375
"Lithuania",73.62164634125
"Luxembourg",81.30579268375
"Macau",82.8865792675
"Macedonia",74.89546036625
"Madagascar",64.01235670625
"Malawi",58.81469817
"Malaysia",74.57885670875
"Maldives",76.405
"Mali",55.86224695125
"Malta",81.0509146325
"Mauritania",62.286585365
"Mauritius",73.51442073
"Mexico",76.28777743875
"Micronesia",68.6917195125
"Moldova",70.121390245
"Mongolia",67.962567075
"Montenegro",75.733390245
"Morocco",74.40237499875
"Mozambique",55.4895487825
"Myanmar",65.505
"Namibia",59.85789024375
"Nepal",68.4942439025
"Netherlands",81.06646341375
"New Caledonia",77.17652439
"New Zealand",81.01076219375
"Nicaragua",74.0258658525
"Niger",57.70953963375
"Nigeria",51.460338415
"North Korea",69.95889939
"Norway",81.38536585375
"Oman",76.30624085375
"Pakistan",65.51868597625
"Panama",77.14645121875
"Papua New Guinea",64.85040548875
"Paraguay",72.52670122
"Peru",73.96342683
"Philippines",68.55388109625
"Poland",76.71676829125
"Portugal",80.06097561
"Puerto Rico",78.7765884125
"Qatar",77.895036585
"Republic Of The Congo",61.52012804875
"Romania",74.1426829275
"Russia",69.68277439125
"Rwanda",64.07146036625
"Saint Lucia",74.67744512375
"Saint Vincent And The Grenadines",72.54713109875
"Samoa",73.72016158625
"San Marino",83.0774612
"Sao Tome And Principe",65.9704115875
"Saudi Arabia",73.97397255875
"Senegal",64.85952439125
"Serbia",74.69878048875
"Seychelles",73.24054878
"Sierra Leone",49.18578658625
"Singapore",81.83109755875
"Sint Maarten",74.39268293
"Slovakia",75.903963415
"Slovenia",79.966463415
"Solomon Islands",69.1802317075
"Somalia",54.55292378
"South Africa",57.83094817
"South Korea",81.1098170725
"South Sudan",54.44757012125
"Spain",82.35853658625
"Sri Lanka",74.51953963375
"St. Martin (French part)",78.93993902625
"Sudan",63.09471646375
"Suriname",70.63544817
"Swaziland",53.15989938875
"Sweden",81.7713414625
"Switzerland",82.6085365875
"Syria",71.55625304625
"Tajikistan",70.15787195125
"Tanzania",62.05917377875
"Thailand",74.23697256
"Timor Leste",67.6222926825
"Togo",58.21836890375
"Tonga",72.35585670625
"Trinidad",70.03951219625
"Tunisia",75.00810060875
"Turkey",74.48302438875
"Turkmenistan",66.915762195
"Uganda",57.7894695125
"Uk",80.72804878
"Ukraine",70.3744817075
"United Arab Emirates",76.928158535
"Uruguay",76.6158445125
"Us",78.57225609375
"Uzbekistan",70.333987805
"Vanuatu",71.1575304875
"Venezuela",73.8916798775
"Vietnam",75.2460396325
"Virgin Islands (U.S.)",79.4109756075
"West Bank and Gaza",72.703109755
"Yemen",63.8623536575
"Zambia",58.00946951125
"Zimbabwe",55.21565243875
