Country,Self.Made,Bachelors.Degree,MBA1,Sector,founding_year,relation,Age.at.start,Cluster
United States,Y,N,N,Technology,1975,Founder,20,The Consistent
United States,Y,Y,N,Investments,1839,Founder,-92,The Consistent
United States,Y,Y,N,Technology,1994,Founder,31,The Consistent
Spain,Y,N,N,Retail,1975,Founder,40,The Consistent
United States,Y,N,N,Software,2004,Founder,20,The Consistent
Mexico,Y,Y,N,Telecom,1990,Founder,51,The Consistent
United States,Y,N,N,Technology,1977,Founder,33,The Consistent
United States,Y,Y,N,Diversified,1940,Relation,4,The Consistent
United States,N,Y,N,Diversified,1940,Relation,-1,The Consistent
United States,Y,Y,Y,Finance,1981,Founder,40,The Consistent
France,N,Y,N,Fashion and Retail,1987,Founder,39,The Consistent
United States,Y,Y,N,Technology,1998,Founder,26,The Consistent
United States,Y,Y,N,Technology,1998,Founder,25,The Consistent
France,N,N,N,Fashion and Retail,1909,Relation,-14,The Consistent
United States,N,Y,N,Fashion and Retail,1962,Relation,17,The Consistent
United States,N,Y,N,Fashion and Retail,1962,Relation,13,The Consistent
United States,N,Y,N,Fashion and Retail,1962,Relation,12,The Consistent
Sweden,Y,N,N,Retail,1943,Founder,17,The Hustler
China,Y,N,N,Real Estate,1988,NA,34,The Consistent
Hong Kong,Y,N,N,Diversified,1971,Founder,43,The Consistent
United States,Y,N,N,Gaming,1988,Founder,55,The Consistent
United States,Y,Y,N,Technology,1975,NA,20,The Consistent
Brazil,Y,Y,N,Food and Beverage,1999,Founder,60,The Consistent
China,Y,Y,N,Software,1999,Founder,35,The Consistent
Canada,N,N,N,Media,1934,Relation,-24,The Consistent
United States,N,Y,N,Food and Beverage,1911,Relation,-25,The Consistent
United States,N,Y,N,Food and Beverage,1911,Relation,-29,The Consistent
United States,Y,Y,Y,Fashion and Retail,1964,NA,27,The Consistent
United States,Y,Y,N,Finance,1969,NA,39,The Consistent
China,Y,Y,N,Software,1998,Founder,27,The Consistent
Hong Kong,Y,N,N,Real Estate,1976,Founder/Chairman,49,The Consistent
India,N,Y,N,Energy,1966,Relation,8,The Consistent
Japan,Y,Y,N,Telecom,1981,Founder/Ceo,24,The Consistent
Denmark,N,Y,Y,Manufacturing,1949,NA,1,The Consistent
Germany,N,N,N,Manufacturing,1946,Relation,-19,The Consistent
Brazil,Y,N,N,Finance,1955,Founder,17,The Consistent
Germany,N,N,Y,Automotive,1916,Relation,-47,The Consistent
United States,Y,N,N,Technology,1984,Founder,20,The Consistent
United States,Y,Y,Y,Energy,1986,Founder,28,The Consistent
United States,N,Y,Y,Technology,1976,Relation,12,The Consistent
United States,Y,N,N,Technology,1975,Founder,22,The Consistent
Sweden,N,N,N,Fashion and Retail,1947,Relation,-1,The Consistent
Germany,N,N,N,Fashion and Retail,1913,Relation,-38,The Consistent
Saudi Arabia,Y,Y,N,Investments,1980,Founder,26,The Consistent
Russia,Y,Y,N,Energy,1994,Chairman,38,The Consistent
United States,Y,Y,Y,Technology,1980,Founder,28,The Consistent
Germany,N,N,N,Automotive,1916,Relation,-51,The Consistent
United States,Y,Y,N,Finance,1982,NA,44,The Consistent
Italy,Y,N,N,Fashion and Retail,1961,Founder,26,The Consistent
Russia,Y,Y,Y,Metals and Mining,1955,Chairman,-11,The Consistent
China,Y,Y,N,Software,1997,NA,26,The Consistent
Germany,N,N,N,Retail,1930,CEO/Chairman,-10,The Consistent
United States,Y,Y,Y,Finance,1975,NA,26,The Consistent
United States,Y,Y,N,Investments,1968,Founder,33,The Consistent
India,N,Y,N,Metals and Mining,1989,Founder,39,The Consistent
France,N,Y,N,Manufacturing,1914,Relation,-11,The Consistent
