Name,Worth,Age,Country,Self Made,Dropped Out,Bachelors Degree,Masters Degree,MBA1,phd,professional_degree,Other Degrees,Joining Year,No Of Times On List,No Of Times Left,No Of Comebacks,Longest Time Away,Sector,Gender1,Detail1,Detail2,Number Of Degress,Presence On List,Continent/Region,last_year_on_list,last_off_list,founding_year,relation,Cluster,Age at start
Bill Gates,86,61,United States,Y,Y,N,N,N,N,N,N,2007,11,0,0,0,Technology,male,"Microsoft, Self Made","Drop Out, Harvard University",0,1,North America,2017,,1975,Founder,The Consistent,20
Warren Buffett,75.6,86,United States,Y,N,Y,Y,N,N,N,N,2007,11,0,0,0,Investments,male,"Berkshire Hathaway, Self Made","Bachelor of Arts / Science, University of Nebraska Lincoln; Master of Science, Columbia University",2,1,North America,2017,,1839,Founder,The Consistent,
Jeff Bezos,72.8,53,United States,Y,N,Y,N,N,N,N,N,2007,11,0,0,0,Technology,male,"Amazon.com, Self Made","Bachelor of Arts / Science, Princeton University",1,1,North America,2017,,1994,Founder,The Consistent,31
Amancio Ortega,71.3,81,Spain,Y,N,N,N,N,N,N,N,2007,11,0,0,0,Retail,male,"Zara, Self Made",NA,0,1,Europe,2017,,1975,Founder,The Consistent,40
Mark Zuckerberg,56,32,United States,Y,Y,N,N,N,N,N,N,2008,9,1,1,1,Software,male,"Facebook, Self Made","Drop Out, Harvard University",0,0.9,North America,2017,2009,2004,Founder,The Consistent,20
Carlos Slim Helu,54.5,77,Mexico,Y,N,Y,N,N,N,N,N,2008,10,0,0,0,Telecom,male,"telecom, Self Made","Bachelor of Arts / Science, Universidad Nacional Autonoma de Mexico",1,1,South America,2017,,1990,Founder,The Consistent,51
Larry Ellison,52.2,72,United States,Y,Y,N,N,N,N,N,N,2007,11,0,0,0,Technology,male,"software, Self Made","Drop Out, University of Chicago; Drop Out, University of Illinois, Urbana-Champaign",1,1,North America,2017,,1977,Founder,The Consistent,33
Charles Koch,48.3,81,United States,Y,N,Y,Y,N,N,N,N,2007,11,0,0,0,Diversified,male,diversified,"Bachelor of Arts / Science, Massachusetts Institute of Technology; Master of Science, Massachusetts Institute of Technology",2,1,North America,2017,,1940,Relation,The Consistent,
David Koch,48.3,76,United States,N,N,Y,Y,N,N,N,N,2007,11,0,0,0,Diversified,male,diversified,"Bachelor of Arts / Science, Massachusetts Institute of Technology; Master of Science, Massachusetts Institute of Technology",2,1,North America,2017,,1940,Relation,The Consistent,
Michael Bloomberg,47.5,75,United States,Y,N,Y,N,Y,N,N,N,2007,11,0,0,0,Finance,male,"Bloomberg LP, Self Made","Bachelor of Arts / Science, Johns Hopkins University; Master of Business Administration, Harvard Business School",2,1,North America,2017,,1981,Founder,The Consistent,40
Bernard Arnault,41.5,68,France,N,N,Y,N,N,N,N,N,2007,11,0,0,0,Fashion and Retail,male,LVMH,"Bachelor of Arts / Science, Ecole Polytechnique de Paris",1,1,Europe,2017,,1987,Founder,The Consistent,39
Larry Page,40.7,44,United States,Y,N,Y,Y,N,N,N,N,2007,11,0,0,0,Technology,male,"Google, Self Made","Bachelor of Arts / Science, University of Michigan; Master of Science, Stanford University",2,1,North America,2017,,1998,Founder,The Consistent,26
