Country,Self.Made,Bachelors.Degree,MBA1,Sector,founding_year,relation,Age.at.start,Cluster,Name
United States,Y,N,N,Technology,1975,Founder,20,The Consistent,Bill Gates
United States,Y,Y,N,Investments,1839,Founder,-92,The Consistent,Warren Buffett
United States,Y,Y,N,Technology,1994,Founder,31,The Consistent,Jeff Bezos
Spain,Y,N,N,Retail,1975,Founder,40,The Consistent,Amancio Ortega
United States,Y,N,N,Software,2004,Founder,20,The Consistent,Mark Zuckerberg
Mexico,Y,Y,N,Telecom,1990,Founder,51,The Consistent,Carlos Slim Helu
United States,Y,N,N,Technology,1977,Founder,33,The Consistent,Larry Ellison
United States,Y,Y,N,Diversified,1940,Relation,4,The Consistent,Charles Koch
United States,N,Y,N,Diversified,1940,Relation,-1,The Consistent,David Koch
United States,Y,Y,Y,Finance,1981,Founder,40,The Consistent,Michael Bloomberg
France,N,Y,N,Fashion and Retail,1987,Founder,39,The Consistent,Bernard Arnault
United States,Y,Y,N,Technology,1998,Founder,26,The Consistent,Larry Page
United States,Y,Y,N,Technology,1998,Founder,25,The Consistent,Sergey Brin
France,N,N,N,Fashion and Retail,1909,Relation,-14,The Consistent,Liliane Bettencourt
United States,N,Y,N,Fashion and Retail,1962,Relation,17,The Consistent,S. Robson Walton
United States,N,Y,N,Fashion and Retail,1962,Relation,13,The Consistent,Jim Walton
United States,N,Y,N,Fashion and Retail,1962,Relation,12,The Consistent,Alice Walton
Sweden,Y,N,N,Retail,1943,Founder,17,The Hustler,Ingvar Kamprad
China,Y,N,N,Real Estate,1988,NA,34,The Consistent,Wang Jianlin
Hong Kong,Y,N,N,Diversified,1971,Founder,43,The Consistent,Li Ka-shing
United States,Y,N,N,Gaming,1988,Founder,55,The Consistent,Sheldon Adelson
United States,Y,Y,N,Technology,1975,NA,20,The Consistent,Steve Ballmer
Brazil,Y,Y,N,Food and Beverage,1999,Founder,60,The Consistent,Jorge Paulo Lemann
China,Y,Y,N,Software,1999,Founder,35,The Consistent,Jack Ma
Canada,N,N,N,Media,1934,Relation,-24,The Consistent,David Thomson
United States,N,Y,N,Food and Beverage,1911,Relation,-25,The Consistent,John Mars
United States,N,Y,N,Food and Beverage,1911,Relation,-29,The Consistent,Jacqueline Mars
United States,Y,Y,Y,Fashion and Retail,1964,NA,27,The Consistent,Phil Knight
United States,Y,Y,N,Finance,1969,NA,39,The Consistent,George Soros
China,Y,Y,N,Software,1998,Founder,27,The Consistent,Ma Huateng
Hong Kong,Y,N,N,Real Estate,1976,Founder/Chairman,49,The Consistent,Lee Shau Kee
India,N,Y,N,Energy,1966,Relation,8,The Consistent,Mukesh Ambani
Japan,Y,Y,N,Telecom,1981,Founder/Ceo,24,The Consistent,Masayoshi Son
