"Team","Pl","W","D","L","F","A","GD","Pts","Year","rank","Cummulative.Pts","Cummulative.rank","Goals","Shots.pg","Discipline","Possession.","PassSuccess.","AerialsWon","Open.Play","Counter.Attack","Set.Piece","Penalty","Own.Goal","Left.Side","Middle.of.the.pitch","Right.Side","Shots.conceded.pg","Tackles.pg","Interceptions.pg","Fouls.pg","Offsides.pg","Shots.OT.pg","Dribbles.pg","Fouled.pg","Cross.pg","Through.Ball.pg","Long.Balls.pg","Short.Passes.pg","Fouls","Unprofessional","Dive","Other"
"Arsenal",38,23,6,9,83,41,42,68,2009,4,75,3,83,17.4,561,57,80.8,14.4,49,9,16,3,6,0.32,0.3,0.38,10.1,21.5,22.1,12.4,2.4,6.1,11.9,14,27,9,56,459,31,3,4,19
"Arsenal",38,21,8.5,8.5,77.5,42,35.5,70,2010,3,71.5,3.5,77.5,17.3,608.5,57.35,82.1,14.05,51.5,6,12.5,3.5,4,0.315,0.32,0.365,10.35,20.9,20.4,12.15,2.4,6.2,11.2,12.55,25.5,9.5,50.5,475.5,41,3.5,2,18.5
"Arsenal",38,20,9,9,73,46,27,73,2011,4,69,3.5,73,17,650,57.7,83.75,12.15,54,6.5,8.5,3,1,0.305,0.325,0.365,10.45,20,17.3,11.3,2.35,6.25,10.15,10.95,24,9,48,496.5,51,5,0.5,15.5
"Arsenal",38,21,8.5,8.5,73,43,30,79,2012,4,71.5,3.5,73,16.25,534.5,56.95,84.65,13.7,49.5,8.5,10,3.5,1.5,0.32,0.295,0.375,10.45,19.7,16.3,10.4,2.2,5.8,10.25,10.8,24.5,7,52.5,505.5,44.5,4,1,10.5
"Arsenal",38,22.5,8.5,7,70,39,31,75,2013,3,76,4,70,14.75,479.5,55.95,85.35,17.35,49.5,5,10,4,1.5,0.33,0.28,0.385,11.25,19.25,15.5,9.65,2,5.5,9.85,10.7,22.5,5,54.5,517,39.5,2.5,0.5,11
"Arsenal",38,23,8,7,69.5,38.5,31,71,2014,2,77,3.5,69.5,14.95,608,55.7,84.65,18.85,49.5,2.5,12,4.5,1,0.33,0.3,0.37,11.3,19.1,17.25,9.55,1.8,5.8,12.4,10.8,21.5,4.5,50.5,509,48.5,3.5,0.5,12
"Arsenal",38,21,10,7,68,36,32,75,2015,5,73,2.5,68,15.6,543,56.3,84,17.5,45,2.5,14.5,3.5,2.5,0.355,0.31,0.335,11.25,19,19.8,9.55,2,5.8,14.4,11.2,21.5,4.5,47.5,503.5,43.5,4,0.5,10.5
"Arsenal",38,21.5,8.5,8,71,40,31,NA,2016,NA,73,3.5,69,15,543.5,56.7,84,15.95,50,2.5,12.5,2.5,3.5,0.36,0.31,0.325,11.6,18.15,16.8,9.85,2.4,5.45,12.55,10.8,19,3.5,51,514,39.5,2.5,0,16.5
"Aston Villa",38,17,13,8,52,39,13,48,2009,9,64,6,52,13.1,592,48.5,71.8,18.8,23,4,16,5,4,0.4,0.26,0.35,16,23.2,18.2,13.4,2.1,4.2,4.9,11.4,27,2,65,294,46,4,1,12
"Aston Villa",38,14.5,12.5,11,50,49,1,38,2010,16,56,7.5,50,13.2,652,48.8,72.6,17.65,25.5,4,12.5,4.5,3.5,0.375,0.265,0.365,15.9,22.7,17.9,12.85,2.25,4.25,5.4,11.65,26.5,2.5,64,315,49.5,3.5,0.5,14.5
"Aston Villa",38,9.5,14.5,14,42.5,56,-13.5,41,2011,15,43,12.5,42.5,12.4,707,47.4,72.8,15,29,2.5,6,3.5,1.5,0.365,0.275,0.36,15.5,21.3,18.55,11.6,2.3,3.95,5.75,10.65,24,2.5,63,316.5,54.5,3,0.5,15
"Aston Villa",38,8.5,14,15.5,42,61,-19,38,2012,15,39.5,15.5,42,11.5,707.5,46.4,74.7,16.2,29,3.5,6.5,3,0,0.375,0.275,0.35,15.95,19.9,19.9,11.45,2.4,3.65,6.1,9.25,20,2,62.5,312.5,54,3,1,17
"Aston Villa",38,10,9.5,18.5,43,65,-22,38,2013,17,39.5,15,43,11.4,746.5,46,75.2,19.1,26.5,5,8.5,2.5,0.5,0.365,0.285,0.35,14.85,19.55,16.15,12.45,2.4,3.65,6.4,9.15,19,1.5,66.5,317.5,56.5,3,1,17
"Aston Villa",38,10,8,20,35,59,-24,17,2014,20,38,16,35,11.15,743.5,47,76.1,18.9,21.5,3,8.5,1.5,0.5,0.365,0.28,0.355,12.8,18.05,12.35,11.75,2.05,3.45,6.9,10.15,20,0.5,72.5,336.5,56,4.5,0.5,18
"Aston Villa",38,6.5,8,23.5,29,66.5,-37.5,NA,2015,NA,27.5,18.5,29,10.5,730,48.2,78.4,18.8,16,1.5,8.5,1.5,1.5,0.37,0.27,0.36,12.9,17.8,16.45,10.95,1.5,3.1,9.35,10.35,20.5,0,70.5,353.5,53,6.5,0,20
"Birmingham",38,13,11,14,38,47,-9,39,2009,18,50,9,38,11.9,741,47.7,67.2,16.9,17,4,14,2,1,0.36,0.26,0.38,17.3,20.7,20.4,11.9,2.6,4.1,6.3,13.2,19,3,76,293,44,4,1,27
"Birmingham",38,10.5,13,14.5,37.5,52.5,-15,NA,2010,NA,44.5,13.5,37.5,11.25,657,47.8,68.9,16.9,17.5,2.5,15,2,0.5,0.355,0.265,0.38,17.7,19.15,17.75,11.65,2.5,3.65,5.15,12.5,20,2.5,79,297.5,45,5,1.5,17
"Blackburn",38,13,11,14,41,55,-14,43,2009,15,50,10,41,12.9,572,45.9,63.8,21.2,13,2,21,3,2,0.38,0.32,0.3,13.4,18.7,19.2,14.8,3.3,4.2,4.4,12.1,20,2,68,254,42,7,1,11
"Blackburn",38,12,10.5,15.5,43.5,57,-13.5,31,2010,19,46.5,12.5,43.5,12.4,613.5,44.95,64,18.45,17.5,1.5,19.5,2,3,0.39,0.315,0.3,14.8,19.2,19.25,13.95,2.8,3.9,5,11.7,21,1.5,66.5,248,45.5,5,1.5,14
