artist,FeaturedArtists,main_genre,featured_genre
Nat King Cole,,soul,
Andrews Sisters,Gordon Jenkins,swing,
Patti Page,,jazz,
Tennessee Ernie Ford,Kay Starr,,swing
Patti Page,,jazz,
Perry Como,,jazz,
Bing Crosby,,swing,
Frankie Laine,,,
Nat King Cole,,soul,
Rosemary Clooney,,swing,
Mario Lanza,Ray Sinatra,,
Tony Bennett,Vicentico,jazz,
Perry Como,,jazz,
Patti Page,,jazz,
Frankie Laine,,,
Patti Page,,jazz,
Frankie Laine,,,
Perry Como,,jazz,
Les Baxter,,,
Rosemary Clooney,,swing,
Patti Page,,jazz,
Al Martino,,jazz,
Rosemary Clooney,,swing,
Doris Day,,jazz,
Frankie Laine,,,
Perry Como,,jazz,
Frankie Laine,,,
Nat King Cole,,soul,
Tony Bennett,,jazz,
Perry Como,The Ramblers,jazz,
Frankie Laine,Jimmy Boyd,,
Eartha Kitt,,jazz,
Rosemary Clooney,,swing,
Doris Day,,jazz,
Frank Sinatra,,,
Rosemary Clooney,,swing,
Patti Page,,jazz,
Dean Martin,,jazz,
Nat King Cole,,soul,
Tony Bennett,Andrea Bocelli,jazz,
Doris Day,The Mellomen,jazz,
Patti Page,,jazz,
Perry Como,,jazz,
Tony Bennett,,jazz,
Les Baxter,,,
Pat Boone,,rock,
Tennessee Ernie Ford,,,
Frank Sinatra,,,
Chordettes,The Chordettes,rock,
Nat King Cole,,soul,
Tennessee Ernie Ford,,,
Platters,The Platters,rock,rock
Elvis Presley,,rock,
Elvis Presley,,rock,
Platters,The Platters,rock,rock
Elvis Presley,,rock,
Dean Martin,,jazz,
Platters,The Platters,rock,rock
Pat Boone,,rock,
Elvis Presley,,rock,
Elvis Presley,,rock,
Perry Como,,jazz,
Carl Perkins,,rock,
Tennessee Ernie Ford,,,
Patti Page,,jazz,
Fats Domino,,blues,
Gene Vincent,,rock,
Pat Boone,,rock,
Chordettes,The Chordettes,rock,
Fats Domino,,blues,
Bing Crosby,Rosemary Clooney,swing,swing
Little Richard,,rock,
Nervous Norvus,,,
Pat Boone,,rock,
Frank Sinatra,,,
Andy Williams,,,
Patti Page,,jazz,
Nat King Cole,,soul,
Perry Como,,jazz,
Platters,The Platters,rock,rock
Johnny Cash,,,
Tony Bennett,,jazz,
Jane Powell,,,
Nat King Cole,,soul,
Fats Domino,,blues,
Chordettes,The Chordettes,rock,
Elvis Presley,,rock,
Pat Boone,,rock,
Jimmy Dorsey,,swing,
Pat Boone,,rock,
Elvis Presley,,rock,
Everly Brothers,The Everly Brothers,rock,rock
Elvis Presley,,rock,
Elvis Presley,,rock,
Marty Robbins,,,
Everly Brothers,The Everly Brothers,rock,rock
Sam Cooke,,soul,
Coasters,The Coasters,rock,rock
Chuck Berry,,rock,
Ferlin Husky,,,
Paul Anka,,rock,
Ricky Nelson,,rock,
Jimmie Rodgers,,,
Jerry Lee Lewis,David Kemper,rock,
Frankie Laine,,,
Johnny Mathis,,jazz,
Andy Williams,,,
Fats Domino,,blues,
Johnny Mathis,,jazz,
Nat King Cole,,soul,
Ricky Nelson,,rock,
Patti Page,,jazz,
Fats Domino,,blues,
Fats Domino,,blues,
Johnny Mathis,Ray Conniff,jazz,
Elvis Presley,,rock,
Harry Belafonte,,,
Pat Boone,Pat Boone and His Orchestra,rock,
Jim Reeves,,rock,
Tony Bennett,,jazz,
Coasters,The Coasters,rock,rock
Andy Williams,,,
Chuck Berry,,rock,
Little Richard,,rock,
Pat Boone,,rock,
Little Richard,,rock,
Chuck Willis,,rock,
Fats Domino,,blues,
Pat Boone,,rock,
Elvis Presley,,rock,
Perez Prado,Pérez Prado,,
Tommy Edwards,,rnb,
Dean Martin,,jazz,
Platters,The Platters,rock,rock
Jimmie Rodgers,,,
Coasters,The Coasters,rock,rock
Ricky Nelson,,rock,
Jimmy Clanton,,rnb,
Kingston Trio,The Kingston Trio,rock,rock
Chuck Berry,,rock,
Jerry Lee Lewis,,rock,
Chordettes,The Chordettes,rock,
Bobby Darin,,rock,
Connie Francis,,rock,
Pat Boone,,rock,
Buddy Holly,,rock,
Don Gibson,,rock,
Big Bopper,The Big Bopper,rock,rock
Frank Sinatra,,,
Elvis Presley,,rock,
Earl Grant,,,
Jimmie Rodgers,,,
Everly Brothers,The Everly Brothers,rock,rock
Bobby Darin,,rock,
Elvis Presley,,rock,
Andy Williams,,,
Ricky Nelson,,rock,
Chuck Willis,,rock,
Chuck Berry,,rock,
Eddie Cochran,,rock,
Peggy Lee,,soul,
Paul Anka,,rock,
Johnny Cash,,,
Pat Boone,,rock,
Pat Boone,Pat Boone and His Orchestra,rock,
Everly Brothers,The Everly Brothers,rock,rock
Kathy Linden,,,
Johnny Cash,,,
Jerry Lee Lewis,,rock,
Marty Robins,NA,,
Johnny Horton,,rock,
Bobby Darin,,rock,
Paul Anka,,rock,
Bobby Darin,,rock,
Paul Anka,Joe Sherman,rock,
Ritchie Valens,,rock,
Platters,The Platters,rock,rock
Coasters,The Coasters,rock,rock
Brook Benton,,soul,
Connie Francis,,rock,
Elvis Presley,,rock,
Elvis Presley,,rock,
Thomas Wayne,,,
Connie Francis,,rock,
Ricky Nelson,,rock,
Elvis Presley,,rock,
Dinah Washington,,soul,
Andy Williams,,,
Ray Charles,,blues,
Sarah Vaughan,,jazz,
Coasters,The Coasters,rock,rock
Jackie Wilson,,rock,
Connie Francis,,rock,
Platters,The Platters,rock,rock
Skyliners,The Skyliners,rnb,rnb
Fats Domino,,blues,
Ricky Nelson,,rock,
Kingston Trio,The Kingston Trio,rock,rock
Ricky Nelson,,rock,
Coasters,The Coasters,rock,rock
Ricky Nelson,,rock,
Bobby Rydell,,rock,
Elvis Presley,,rock,
Everly Brothers,The Everly Brothers,rock,rock
Mormon Tabernacle Choir,Traditional,,
Jim Reeves,,rock,
Everly Brothers,The Everly Brothers,rock,rock
