Name,Worth,Age,Country,Self_Made,dropped_out,bachelors_degree,masters_degree,MBA,phd_or_professional_degree,other_degrees,joining_year,no_of_times_on_list,no_of_times_left,no_of_comebacks,longest_time_away,Sector,Gender,detail1,detail2,number_of_degress,presence_on_list,Continent/Region
Bill Gates,86,61,United States,Y,Y,N,N,N,N,NA,2007,11,0,0,0,Technology,male,"Microsoft, Self Made","Drop Out, Harvard University",0,100%,North America
Warren Buffett,75.6,86,United States,Y,N,Y,Y,N,N,NA,2007,11,0,0,0,Investments,male,"Berkshire Hathaway, Self Made","Bachelor of Arts / Science, University of Nebraska Lincoln; Master of Science, Columbia University",2,100%,North America
Jeff Bezos,72.8,53,United States,Y,N,Y,N,N,N,NA,2007,11,0,0,0,Technology,male,"Amazon.com, Self Made","Bachelor of Arts / Science, Princeton University",1,100%,North America
Mark Zuckerberg,56,32,United States,Y,Y,N,N,N,N,NA,2008,9,1,1,1,Technology,male,"Facebook, Self Made","Drop Out, Harvard University",0,90%,North America
Larry Ellison,52.2,72,United States,Y,Y,N,N,N,N,NA,2007,11,0,0,0,Technology,male,"software, Self Made","Drop Out, University of Chicago; Drop Out, University of Illinois, Urbana-Champaign",1,100%,North America
Charles Koch,48.3,81,United States,Y,N,Y,Y,N,N,NA,2007,11,0,0,0,Diversified,male,diversified,"Bachelor of Arts / Science, Massachusetts Institute of Technology; Master of Science, Massachusetts Institute of Technology",2,100%,North America
David Koch,48.3,76,United States,N,N,Y,Y,N,N,NA,2007,11,0,0,0,Diversified,male,diversified,"Bachelor of Arts / Science, Massachusetts Institute of Technology; Master of Science, Massachusetts Institute of Technology",2,100%,North America
Michael Bloomberg,47.5,75,United States,Y,N,Y,N,Y,N,NA,2007,11,0,0,0,Finance,male,"Bloomberg LP, Self Made","Bachelor of Arts / Science, Johns Hopkins University; Master of Business Administration, Harvard Business School",2,100%,North America
Larry Page,40.7,44,United States,Y,N,Y,Y,N,N,NA,2007,11,0,0,0,Technology,male,"Google, Self Made","Bachelor of Arts / Science, University of Michigan; Master of Science, Stanford University",2,100%,North America
Sergey Brin,39.8,43,United States,Y,N,Y,Y,N,N,NA,2007,11,0,0,0,Technology,male,"Google, Self Made","Master of Science, Stanford University; Bachelor of Arts / Science, University of Maryland, College Park",2,100%,North America
S. Robson Walton,34.1,72,United States,N,N,Y,N,N,Y,NA,2007,11,0,0,0,Fashion and Retail,male,Wal-Mart,"Bachelor of Arts / Science, University of Arkansas; Doctor of Jurisprudence, Columbia University",2,100%,North America
Jim Walton,34,68,United States,N,N,Y,N,N,N,NA,2007,11,0,0,0,Fashion and Retail,male,Wal-Mart,"Bachelor of Arts / Science, University of Arkansas",1,100%,North America
Alice Walton,33.8,67,United States,N,N,Y,N,N,N,NA,2007,11,0,0,0,Fashion and Retail,female,Wal-Mart,"Bachelor of Arts / Science, Trinity University",1,100%,North America
Sheldon Adelson,30.4,83,United States,Y,Y,N,N,N,N,NA,2007,11,0,0,0,Gaming,male,"casinos, Self Made","Drop Out, City College of New York",0,100%,North America
Steve Ballmer,30,61,United States,Y,Y,Y,N,N,N,NA,2007,11,0,0,0,Technology,male,"Microsoft, Self Made","Bachelor of Arts / Science, Harvard University; Drop Out, Stanford University",1,100%,North America
