Country_Name,no_of_holidays,avg_gdp,Average_PPP,Average_grads,Population,Average_Income,Compensation of employees (% of expense),Consumer price index (2010 = 100),Duration of compulsory education (years),Gross savings (% of GDP),"Health expenditure, private (% of GDP)","Labor force, total","Life expectancy at birth, total (years)",Unemployment_Rate,Population ages 0-14 (% of total),Population ages 15-64 (% of total),Population ages 65 and above (% of total),Average Democratic Index,Average GDP Growth,Household final expenditure (% of GDP)
Afghanistan,2,"16,246,762,310.10",140.7615423,5562.888889,28994257.89,213.58,24.70431963,112.176485,9,-6.844229382,6.056004666,7280460.5,59.13045732,8.199999809,46.56843568,51.10663782,2.324926501,2.676666667,7.940701266,106.8422131
Albania,10,12253196915,536.0080572,16523,2915819,434.19,25.65417966,102.1920097,8.375,18.69209722,2.993920388,1273750.25,77.14439634,14.375,20.94949919,67.95997746,11.09052335,5.813333333,3.352222222,79.76252608
Algeria,7,1.78E+11,695.1410173,162914.8889,36828280.67,346.48,34.89261603,106.3991045,10,49.67534518,1.542433853,11441415.88,73.9017378,10.8375001,27.7246816,66.69332282,5.581995576,3.596666667,3.088888889,33.51945332
Andorra,15,2758981042,3526.279497,31.11111111,80132.22222,2731.12,0,0,10,0,1.765005236,0,0,0,0,0,0,,-3.472625645,
Angola,7,97398916879,238.4050752,1505.222222,22010204.78,2650.03,35.69537944,112.6996635,6,17.49350653,1.261544411,7819153.25,50.85558537,0,48.08013295,49.57709224,2.342774812,3.244444444,7.325533461,51.94143388
Antigua and Barbuda,10,1225781551,1122.582578,77.66666667,88133.77778,0,39.74687487,102.7150533,11,11.99306682,1.613704247,0,75.38028964,0,25.83466377,66.95438356,7.210952669,,0.10719794,68.32360065
Argentina,12,4.62E+11,1194.293075,178350.5556,41673244.89,1018.58,0,105.5,13.125,18.26938611,2.353414631,18750465.25,75.57435671,7.612500012,25.77686389,63.69488682,10.52824929,6.826666667,2.740081425,63.67937802
Armenia,11,10318366762,302.311806,22417,2983903.444,312.89,22.60118891,104.8636592,11,19.39776367,2.369761146,1464818.25,74.25797866,19.19999995,19.84961107,69.44762883,10.7027601,4.06,3.388801481,80.22192879
Aruba,8,1440754190,0,237.7777778,102239.2222,2833.33,0,100.8981939,13,0,0,0,75.00513415,8.150000095,20.08192843,69.27428254,10.64378903,,-5.396476797,57.67491132
Australia,8,1.25E+12,3932.793405,232495.4444,22359015.11,3780.69,10.52448668,102.5327344,10,23.52537994,2.939788228,11754823.38,81.78353659,5.187499881,18.98058266,67.14070693,13.87871041,9.111111111,2.721603141,55.30250735
Austria,12,4.09E+11,4574.310365,54464.00174,8419709.111,2457.33,10.47299314,103.1138904,9,26.22461827,2.680956052,4348181.875,80.73963415,4.93750006,14.69467143,67.40342221,17.90190636,8.527777778,0.95380612,53.18569107
Azerbaijan,18,57287243306,821.4336213,38383.77778,9157596.667,524.84,16.65717477,0,9,42.83115518,4.202392603,4577279.25,70.39937805,5.5,22.68416565,71.42017121,5.895663144,3.022222222,6.805446082,39.92842622
"Bahamas, The",11,8249617492,1703.890761,0,366052.1111,3025,0,102.0381879,11,13.29542207,4.009269174,207967.125,74.66240854,12.45000005,22.44476096,70.28401756,7.271221483,,-0.221347326,68.82271335
Bahrain,12,28318117612,1614.930743,1773.666667,1258735.889,1226.79,47.08919763,101.3948184,9,31.36184564,1.244152114,688549.625,76.19691464,1.166666707,21.03283329,76.77447443,2.192692277,3.018888889,4.417060996,38.02087307
Bangladesh,13,1.30E+11,74.71369568,125897.8889,153584591.2,340.22,21.10686687,110.494191,5,37.75872783,1.994054049,73708559.63,70.26315854,4.75,31.53969423,63.70671765,4.753588112,5.813333333,6.144721603,74.29801139
Barbados,11,4438444444,981.6089049,977.5555556,280420.1111,1625,28.51306804,105.1487182,11,2.893887511,2.320312962,159648.375,74.92661585,10.08571441,19.78519773,67.35636945,12.85843282,,0.04968489,76.63125245
Belarus,7,59735344204,888.6960898,108641,9498222.222,502.19,11.49367037,0,9,28.23000291,1.760277665,4470914,71.17969512,1.599999994,15.21682495,70.68051199,14.10266306,3.345555556,3.658319134,52.36200261
Belgium,8,4.99E+11,3960.285349,69179.66667,10989277,2564.89,6.399404242,102.6428064,12,24.69744294,2.3226775,4860709,80.22195122,7.774999976,16.8565601,65.66373645,17.47970344,8.015555556,1.063853741,51.56923115
Belize,10,1506695478,436.247723,366.8888889,329020.8889,1441,40.19009505,101.0989982,8,12.45886918,1.893851577,137136,69.79245732,13.2199997,35.03444018,61.25305604,3.712503776,,2.304018711,69.39521515
