Name_updated,Name,Not Available,Citizenship,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,joining_year,no_of_times_on_list,no_of_times_left,no_of_comebacks,longest_time_away,Sector
Alfred Taubman,Alfred Taubman,,United States,NA,NA,NA,X,X,X,X,X,X,NA,NA,2010,6,1,0,0,Real Estate
A. Jerrold Perenchio,A. Jerrold Perenchio,268,United States,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,Media
Abdul Aziz Al Ghurair & family,Abdulla bin Ahmad Al Ghurair,367,United Arab Emirates,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,Diversified financial
Abdul Majeed Alhokair,Abdul Majeed Alhokair,,Saudi Arabia,NA,NA,NA,NA,NA,NA,NA,NA,X,NA,X,2015,2,1,1,1,#N/A
Abdul Rasyid,Abdul Rasyid,,Indonesia,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,NA,2016,1,1,0,0,#N/A
Abdulla Al Futtaim,Abdulla Al Futtaim,366,United Arab Emirates,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,"Retail, Restaurant"
Abdullah Al Rajhi,Abdullah Al Rajhi,,Saudi Arabia,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,Money Management
Abdulsamad Rabiu,Abdulsamad Rabiu,,Nigeria,NA,NA,NA,NA,NA,NA,NA,X,X,X,NA,2014,3,1,0,0,Consumer
Abhay Firodia,Abhay Firodia,,India,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,2015,3,0,0,0,#N/A
Abigail Johnson,Abigail Johnson,30,United States,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,Money Management
Abilio dos Santos Diniz,Abilio dos Santos Diniz,368,Brazil,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,"Retail, Restaurant"
Achal Bakeri,Achal Bakeri,,India,NA,NA,NA,NA,NA,NA,NA,NA,X,X,X,2015,3,0,0,0,#N/A
Acharya Balkrishna,Acharya Balkrishna,369,India,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,2017,1,0,0,0,#N/A
Achmad Hamami,Achmad Hamami,,Indonesia,NA,NA,NA,NA,NA,X,X,X,X,X,NA,2012,5,1,0,0,Non-consumer industrial
Adam Neumann,Adam Neumann,370,Israel,NA,NA,NA,NA,NA,NA,NA,NA,NA,X,X,2016,2,0,0,0,#N/A
Adi Godrej & family,Adi Godrej,371,India,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,Consumer
Adolf Merckle,Adolf Merckle,,Germany,X,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,2,1,0,0,Technology-Medical
Aerin Lauder Zinterhofer,Aerin Lauder Zinterhofer,,United States,NA,NA,NA,NA,NA,NA,NA,X,X,X,X,2014,4,0,0,0,Consumer
Ahmet Calik,Ahmet Calik,,Turkey,NA,X,X,X,X,X,X,X,X,X,X,2008,10,0,0,0,Energy
Ahmet Nazif Zorlu,Ahmet Nazif Zorlu,,Turkey,NA,X,X,X,X,X,X,X,X,X,X,2008,10,0,0,0,Diversified financial
Ahmet Zorlu,Ahmet Zorlu,,Turkey,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007,1,1,0,0,#N/A
Ahsen Ozokur,Ahsen Ozokur,,Turkey,NA,X,NA,X,X,X,X,X,X,NA,NA,2008,7,2,1,1,Consumer
Airat Shaimiev,Airat Shaimiev,,Russia,NA,NA,NA,NA,NA,NA,X,X,X,NA,X,2013,4,1,1,1,Energy
Ajay Kalsi,Ajay Kalsi,,India,NA,NA,NA,NA,X,X,X,X,NA,NA,X,2011,5,1,1,2,Energy
Ajay Piramal,Ajay Piramal,372,India,NA,NA,NA,X,X,X,X,X,X,X,X,2010,8,0,0,0,Technology-Medical
Akio Nitori,Akio Nitori,373,Japan,NA,NA,NA,NA,X,X,X,X,X,X,X,2011,7,0,0,0,"Retail, Restaurant"
Akira Mori & family,Akira Mori,374,Japan,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,Real Estate
Alain & Gerard Wertheimer,Alain & Gerard Wertheimer,,France,X,X,X,X,X,X,X,NA,NA,NA,NA,2007,7,1,0,0,#N/A
Alain Bouchard,Alain Bouchard,375,Canada,NA,NA,NA,NA,NA,NA,X,X,X,X,X,2013,5,0,0,0,"Retail, Restaurant"
Alain Merieux & family,Alain Merieux,376,France,X,X,X,X,X,X,X,X,X,X,X,2007,11,0,0,0,Technology-Medical
